,namaproduk,keterangan,harga,terjual
0,Red Dead Redemption 2: Ultimate Edition (PC) Steam Akun Global,Steam  Akun  Global,219043,4
1,Poppy Playtime - Chapter 2 (PC) Steam Sharing Account Global,Steam  Sharing Account  Global,20000,1
2,Random Key (PC) Steam Key Global,Steam  Random Steam Key  Global,1199,15526
3,Random Epic 1 Key (PC) Steam Key Global,Steam  Random Steam Key  Global,25000,3592
4,Random 1 Key NSFW (PC) Steam Key Global,Steam  Random Steam Key  Global,950,1142
5,Random Legendary 1 Key (PC) Steam Key Global,Steam  Random Steam Key  Global,15000,770
6,Random Mythic 1 Key (PC) Steam Key Global,Steam  Random Steam Key  Global,49999,716
7,Random Legendary 3 Keys (PC) Steam Key Global,Steam  Random Steam Key  Global,9500,458
8,Monster Hunter Stories 3: Twisted Reflection (PC) Steam Key Southeast-Asia,Steam  Key  Southeast-Asia,774800,424
9,Resident Evil Requiem Deluxe Edition (PC) Steam Sharing Account Global,Steam  Sharing Account  Global,100000,360
10,Minecraft Legends (PC) Microsoft Store Key Global,Microsoft Store  Key  Global,13500,343
11,Resident Evil Requiem (PC) Steam Key Southeast-Asia,Steam  Key  Southeast-Asia,777100,335
12,Minecraft Java & Bedrock Edition (PC) Microsoft Store Key Global,Microsoft Store  Key  Global,259990,264
13,NBA 2K26 Standard Edition (PC) Steam Try To Get Global,Steam  Try To Get  Global,45000,260
14,Random Mythic 10 Keys (PC) Steam Key Global,Steam  Random Steam Key  Global,5800,234
15,Random Rare 1 Key (PC) Steam Key Global,Steam  Random Steam Key  Global,9500,231
16,Battlefield 6 Standard Edition (PC) Steam Try To Get Global,Steam  Try To Get  Global,45000,226
17,MONSTER HUNTER RISE (PC) Steam Key Southeast-Asia,Steam  Key  Southeast-Asia,169000,179
18,Resident Evil Requiem (PC) Steam Akun Southeast-Asia,Steam  Akun  Southeast-Asia,814370,150
19,Black Myth: Wukong (PC) Steam Sharing Account Global,Steam  Sharing Account  Global,15000,144
20,EA SPORTS FC 26 (PC) Steam Try To Get Global,Steam  Try To Get  Global,20500,132
21,Minecraft Java & Bedrock Edition (PC) Steam Key Global,Steam  Key  Global,240000,123
22,PRAGMATA Deluxe Edition (PC) Steam Key Southeast-Asia,Steam  Key  Southeast-Asia,665600,120
23,METAL GEAR SOLID Δ: SNAKE EATER (PC) Steam Try To Get Global,Steam  Try To Get  Global,45000,118
24,Monster Hunter: World (PC) Steam Key Southeast-Asia,Steam  Key  Southeast-Asia,174900,114
25,Resident Evil Requiem Deluxe Edition (PC) Steam Key Southeast-Asia,Steam  Key  Southeast-Asia,890400,113
27,Random Mythic 5 Keys (PC) Steam Key Global,Steam  Random Steam Key  Global,8800,105
28,Random Legendary 10 Keys (PC) Steam Key Global,Steam  Random Steam Key  Global,11000,93
29,Battlefield 4™ Premium Edition (PC) EA App Key Global,EA App  Key  Global,89000,91
30,Cities: Skylines (PC) Steam Key Global,Steam  Key  Global,189900,84
31,Resident Evil Requiem Deluxe Edition (PC) Steam Akun Southeast-Asia,Steam  Akun  Southeast-Asia,933300,75
32,Dying Light: The Beast (PC) Steam Try To Get Global,Steam  Try To Get  Global,20500,75
33,Battlefield™ V Definitive Edition (PC) EA App Key Global,EA App  Key  Global,99000,74
34,Random Mythic 3 Keys (PC) Steam Key Global,Steam  Random Steam Key  Global,11000,66
35,Assetto Corsa (PC) Steam Key Global,Steam  Key  Global,84900,56
36,The Elder Scrolls V: Skyrim Special Edition (PC) Steam Key Global,Steam  Key  Global,179900,53
37,Monster Hunter Wilds (PC) Steam Key Southeast-Asia,Steam  Key  Southeast-Asia,350000,52
